Version,3.0.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
frasol,fra,sol,Fraction solide,Fraction solide.,NA,1.0.0,2.0.0,"description wording, structure",
frasolDry,fra,solDry,Fraction solide (sèche),"Fraction solide d'un échantillon - le matériau sec est analysé, par séchage, cuisson, etc. des boues ou autres solides.",NA,2.3.0,2.3.0,added in v2.3.0 for mapping support,
frasolid,fra,solid,Solides/Pellets retenus,Les solides ou le culot sont retenus après la séparation/centrifugation des solides.,NA,2.2.0,2.2.0,added in V2.2.0,
frasolidMat,fra,solidMat,Solide,"État dans lequel une substance n'a pas tendance à s'écouler sous une contrainte modérée, résiste aux forces (telles que la compression) qui tendent à la déformer et conserve une taille et une forme définies.",NA,3.0.0,3.0.0,added in V3.0.0,
frasolidSep,fra,solidSep,Séparation des solides,"Le procès utilisé pour séparer les phases solides et liquides de l'échantillon, soit avant, soit en l'absence de la méthode de concentration spécifiée dans ""methodConc"".",NA,2.0.0,2.0.0,added in V2.0.0,
frasolidSeparationSet,fra,solidSeparationSet,Ensemble de catégories de séparation des solides,Ensemble de catégories pour la séparation des solides.,NA,2.0.0,2.0.0,added in V2.0.0,
frasolWet,fra,solWet,Fraction solide (humide),"Fraction solide d'un échantillon - le matériau humide est analysé, et non séché. Ex. Boues.",NA,2.3.0,2.3.0,added in v2.3.0 for mapping support,
frasortMeRNA,fra,sortMeRNA,SortMeRNA,Une application de traitement des données de séquençage utilisée pour le filtrage de l'ARN ribosomique dans les données métatranscriptomiques.,NA,3.0.0,3.0.0,added in V3.0.0,
frasource,fra,source,Source du nom large,La base de données ou la table à l'origine du nom large.,NA,2.2.0,2.2.0,added in V2.2.0,
frasourceCode,fra,sourceCode,Code source,"Le code source pour le calcul ou le traitement des données, plus applicable aux algorithmes et aux étapes plus complexes.","Il est possible d'enregistrer le code complet comme texte, ou de l'enregistrer comme URL vers l'endroit où le code est stocké. Probablement une URL différente du champ lien de référence.",3.0.0,3.0.0,added in V3.0.0,
frasourceProtocol,fra,sourceProtocol,Source du protocole,Utilisé pour indiquer le protocole qui a servi de référence ou de base pour le protocole actuel.,Remplir avec protocolID.,2.0.0,2.0.0,added in V2.0.0,
frasourceStep,fra,sourceStep,Source de l'étape du protocole,Spécifie l'étape de protocole qui sert de base à une étape de protocole.,Remplir avec un ID d'étape de protocole (stepID),2.0.0,2.0.0,added in V2.0.0,
frasovereignty,fra,sovereignty,Statut souverain d'un pays,"Statut de souveraineté d'un pays, indiquant quel État a la plus haute juridiction sur un territoire donné.","Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",2.1.0,2.1.0,added in V2.1.0,
fraspades,fra,spades,SPAdes,"Logiciel de séquençage qui est principalement un assembleur, mais qui peut produire des contigs pouvant être utilisés pour déduire des séquences consensuelles dans les assemblages.",NA,3.0.0,3.0.0,added in V3.0.0,
fraspecHum,fra,specHum,Humidité specifique,"Mesure d'humidité spécifique, l'unité est le rapport entre la masse de la vapeur d'eau et la masse de l'air total.",NA,2.0.0,2.0.0,added in V2.0.0,
fraspecHumidUnitSet,fra,specHumidUnitSet,Ensemble d'unités d'humidité spécifique,Ensemble d'unités pour les mesures d'humidité spécifique.,NA,2.0.0,2.0.0,added in V2.0.0,
fraspecifies,fra,specifies,Spécifie,Indique que l'objet étape ou protocole spécifie les détails du sujet étape ou protocole dans le conteneur de protocole global.,À n'utiliser que pour la relation ID de la table protocolRelationships table relationshipID.,2.0.0,2.0.0,added in V2.0.0,
fraspecimen,fra,specimen,ID du spécimen,La substance ou la chose sur laquelle l'observation a été faite.,"Les spécimens comprennent : site, échantillon, personne et population.",2.0.0,2.0.0,added in V2.0.0,
fraspecimenInput,fra,specimenInput,Entrée spécimen (table large),Le partID du spécimen utilisé dans un nom large.,NA,2.2.0,2.2.0,added in V2.2.0,
fraspecimenName,fra,specimenName,Nom de l'échantillon (tableau large),Le spécimen référencé pour le nom large.,NA,2.2.0,2.2.0,added in V2.2.0,
fraspecimens,fra,specimens,Type de partie du spécimen,La substance sur laquelle l'observation a été faite.,Voir partID = specimentID,2.0.0,2.0.0,added in V2.0.0,
fraspecimenSet,fra,specimenSet,En-tête de l'ensemble d'échantillons,Identification d'un ensemble de spécimens pouvant être utilisés pour une mesure ou une méthode.,NA,2.2.2,2.2.2,added in 2.2.2,
fraspecimenSets,fra,specimenSets,Ensemble de spécimens,L'ensemble des spécimens valides qui s'appliquent à une partie donnée.,NA,2.0.0,2.0.0,added in V2.0.0,
fraspectroFluoro,fra,spectroFluoro,Spectrophotomètres ou fluorimètres,"Des instruments spectromètres et fluoromètres ; peuvent être utilisés pour évaluer la concentration et la pureté (par exemple, NanoDrop™, Qubit™).",NA,3.0.0,3.0.0,added in V3.0.0,
fraspeed,fra,speed,Classe de vitesse,Measures and methods relating to speed.,NA,2.0.0,2.0.0,added in V2.0.0,
fraspeedUnitSet,fra,speedUnitSet,Ensemble d'unités de vitesse,"Unité définie pour la déclaration des vitesses (vitesse de centrifugation, etc.)",NA,2.2.0,2.2.0,added in V2.2.0,
fraspg,fra,spg,Tampon sucrose-phosphate-glutamate (SPG),"Une solution tampon/un milieu qui stabilise les virus, y compris dans les échantillons d'eaux usées, en empêchant la dégradation de l'ARN.",NA,3.0.0,3.0.0,added in V3.0.0,
fraspike,fra,spike,Matrice d'ensemencement et récupération,Méthode d'évaluation de l'inhibition par matrice d'ensemencement et récupération.,NA,2.0.0,2.0.0,added in V2.0.0,
fraspikeConc,fra,spikeConc,Concentration du pic,Concentration de la cible dans les contrôles de récupération de la matrice (le contrôle de processus).,NA,2.2.0,2.2.0,added in V2.2.0,
fraspikeGene,fra,spikeGene,Gène Spike du SARS-CoV-2 (orf2),Gène Spike du SARS-CoV-2 (orf2),NA,3.0.0,3.0.0,added in V3.0.1,
fraspikeMat,fra,spikeMat,Objectif de contrôle de l'efficacité de la récupération,rec_eff_spike_matrix,NA,1.0.0,2.0.0,description wording,
fraspikeMatSet,fra,spikeMatSet,Ensemble de catégories pour matrice enrichie,L'ensemble de catégorie pour spikeMat (matrices dans lesquelles la cible de contrôle de l'efficacité de la récupération est injectée).,NA,2.0.0,2.0.0,added in V2.0.0,
fraspikeTarget,fra,spikeTarget,Efficacité de la récupération de la matrice enrichie,Méthode spécifiant la cible de contrôle de l'efficacité de récupération. Elle correspond à l'ID de la méthode de la matrice enrichie.,Devrait typiquement être indexé comme une étape procédant à l'étape spikeMaterial methodID.,2.0.0,2.0.0,added in V2.0.0,
fraspikeTargetSet,fra,spikeTargetSet,Ensemble de catégories pour l'efficacité de la récupération de la matiére enrichie,L'ensemble de catégories contenant toutes les catégories valides pour la cible de contrôle de l'efficacité de la récupération (ou de matrice enrichie).,NA,2.0.0,2.0.0,added in V2.0.0,
fraspill,fra,spill,Échantillon renversé,Le contenu de l'échantillon s'est déversé du récipient.,NA,2.0.0,2.0.0,added in V2.0.0,
fraspr,fra,spr,"Source (naturelle, eau)",Relief de surface qui permet à l'eau souterraine ou à la vapeur de s'écouler hors du sol.,NA,3.0.0,3.0.0,added in V3.0.0,
frasra,fra,sra,Archive de lecture de séquences (SRA),Archive de lecture de séquence (SRA).,NA,3.0.0,3.0.0,added in V3.0.0,
frasrst2,fra,srst2,Logiciel SRST2,Outil logiciel permettant d'analyser la résistance aux antimicrobiens à l'aide de séquences courtes.,NA,3.0.0,3.0.0,added in V3.0.0,
frassake,fra,ssake,SSAKE,Un logiciel de séquençage qui est un assembleur de novo simple pour les lectures courtes fortement chevauchantes.,NA,3.0.0,3.0.0,added in V3.0.0,
fraSSI,fra,SSI,"Outil de sérotypage des streptocoques (Streptococcus Serotyping Tool, SSI)",Streptococcus Serotyping Tool (SSI) Plateforme web pour le sérotypage de Streptococcus pneumoniae basée sur les loci de synthèse des polysaccharides capsulaires.,NA,3.0.0,3.0.0,added in V3.0.0,
frasSludge,fra,sSludge,Boues du décanteur secondaire,Boue provenant d'un décanteur secondaire.,NA,1.0.0,2.0.0,NA,
frasss,fra,sss,refuge,Autre type d'hébergement des services sociaux,NA,2.0.0,2.0.0,added in V2.0.0,
frastabPnd,fra,stabPnd,Étang de stabilisation,Spécifie un type de site qui est un bassin conçu et construit pour le traitement des eaux usées afin de réduire le contenu organique et d'éliminer les agents pathogènes des eaux usées.,NA,1.0.0,2.0.0,"description wording, structure",
frastag,fra,stag,Stagnant,Une qualité d'un plan d'eau dans lequel il n'y a ni courant ni écoulement.,NA,3.0.0,3.0.0,added in V3.0.0,
frastamp,fra,stamp,Logiciel STAMP (Statistical Analysis of Metagenomic Profiles),Un outil logiciel d'analyse de lignées ou de clades pour analyser les profils taxonomiques et différencier les clades.,NA,3.0.0,3.0.0,added in V3.0.0,
frastandard,fra,standard,Standard pour l'ajustement des données,"Un champ où l'on peut enregistrer de manière catégorique la norme selon laquelle une mésure est standardisé (c'est-à-dire PMMoV, Crassphage, Débit, etc.) ou lissé (c'est-à-dire lissage bayésien, lissage par moyenne centrale, 7 jours, temps, etc.).",NA,3.0.0,3.0.0,added in V3.0.0,
frastandardConc,fra,standardConc,Classe de concentration standard,Spécifie une collection de mesures/méthodes liées aux concentrations standard.,NA,2.0.0,2.0.0,added in V2.0.0,
frastandardCurve,fra,standardCurve,Classe de courbe standard,Mesures et méthodes relatives à la génération ou à l'enregistrement d'une courbe standard.,NA,2.0.0,2.0.0,added in V2.0.0,
frastandardization,fra,standardization,Type de calcul de standardisation,"Une méthode utilisée pour ajuster les données à une plage ou une distribution commune, souvent pour permettre des comparaisons équitables entre différentes variables, périodes temporelles ou emplacements.",NA,3.0.0,3.0.0,added in V3.0.0,
frastaphGrp,fra,staphGrp,Groupe Staphylococcus,Un groupe de mesures/méthodes relatives aux bactéries staphylocoques.,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
frastar,fra,star,STAR (Spliced Transcripts Alignment to a Reference),"STAR (Spliced Transcripts Alignment to a Reference). Un mappeur de lecture polyvalent. Aligneur rapide conçu pour le séquençage d'ARN, prend en charge l'alignement épissé. Idéal pour : l'analyse des données transcriptomiques.",NA,3.0.0,3.0.0,added in V3.0.0,
frastarAMR,fra,starAMR,Logiciel StarAMR,Outil logiciel utilisé pour détecter les gènes de résistance aux antimicrobiens dans les assemblages génomiques.,NA,3.0.0,3.0.0,added in V3.0.0,
frastateProvLevel,fra,stateProvLevel,"Départements, États ou provinces","Départements, États ou provinces",NA,2.0.0,3.0.0,"Reactivated as organization level and sector categorical inputs, rather than attributes.",
frastateProvReg,fra,stateProvReg,"État, province ou région","L'état, la province ou la région où se trouve un site ou une organisation ; partie de l'adresse.",NA,1.0.0,2.0.0,"description wording, structure",
frastatus,fra,status,Statut,"Indique si la partie est toujours active et peut être utilisée dans la version la plus récente de l'ODM. Les valeurs sont ""actif"" ou ""inactif"".",NA,1.0.0,2.0.0,added in V2.0.0,
frastatusSet,fra,statusSet,Ensemble de catégories de statut,Un ensemble de catégories pour partID = status pour indiquer si une partie est en cours d'utilisation ou non.,NA,2.0.0,2.0.0,added in V2.0.0,
frastd,fra,std,Échantillon standard,Désigne un réplicat d'échantillon standard.,NA,3.0.0,3.0.0,added in V3.0.0,
frastdConcentrationUnitSet,fra,stdConcentrationUnitSet,Ensemble d'unités de concentration standard,Ensemble d'unités pour les mesures de concentration.,NA,2.0.0,2.0.0,added in V2.0.0,
frastdCurveMet,fra,stdCurveMet,Standard Curve Calculation Method,Décrit l'approche spécifique utilisée pour le calcul d'une courbe standard.,NA,2.2.0,2.2.0,added in V2.2.0,
frastdCurveSet,fra,stdCurveSet,Ensemble de calcul de la courbe standard,L'ensemble contenant toutes les méthodes valides pour les calculs de la courbe standard de la PCR.,NA,2.2.0,2.2.0,added in V2.2.0,
frastec,fra,stec,Escheria coli producteur de shiga-toxine (STEC),Escheria coli producteur de shiga-toxine (STEC).,NA,2.1.0,2.1.0,added in V2.1.0,
frasTemp,fra,sTemp,Température de stockage de l'échantillon en degrés Celsius,Température à laquelle l'échantillon est stocké en Celsius.,NA,1.0.0,2.0.0,NA,
frastepID,fra,stepID,ID de l'étape du protocole,L'identifiant unique pour une étape de méthode spécifique.,"Les étapes de la méthode sont les éléments constitutifs d'un ensemble de méthodes plus vaste, ces dernières étant liées à des rapports de mesure spécifiques.",2.0.0,2.0.0,added in V2.0.0,
frastepIDObj,fra,stepIDObj,Index de l'étape de la méthode,"Spécifie l'index d'une étape de méthode dans un ensemble de méthodes, c'est-à-dire l'ordre des étapes dans un ensemble.","Remplissez ce champ en utilisant l'ID d'étape du protocole (partID = stepID). Avec `protocolIDSub` ou `stepIDSub` et `relationshipID`, la relation de protocole est définie comme suit : [protocolIDSubject ou stepIDSubject] [relationshipID] [protocolIDObject ou stepIDObject]. Ex : stepIDSubject précède protocolIDObject.",2.0.0,2.0.0,added in V2.0.0,
frastepIDSub,fra,stepIDSub,Step ID Subject,"Le sujet de la relation entre une étape du protocole et une autre étape ou un protocole, dans un conteneur d'ID de protocole.","Remplissez ce champ en utilisant l'ID d'étape du protocole (partID = stepID). Avec `protocolIDObj` ou `stepIDObj` et `relationshipID`, la relation de protocole est définie comme suit : [protocolIDSubject ou stepIDSubject] [relationshipID] [protocolIDObject ou stepIDObject]. Ex : stepIDSubject précède protocolIDObject.",2.0.0,2.0.0,added in V2.0.0,
frastepProvenanceID,fra,stepProvenanceID,ID parentale de l'étape de la méthode,"Une étape de méthode qui a servi de base à une autre étape de méthode. Cela peut être dû à des changements de version, ou à la référence à un ensemble de méthodes qui a été adapté par la suite.",NA,2.0.0,2.0.0,added in V2.0.0,
frastepVer,fra,stepVer,Version de l’étape du protocole,Spécifie la version de l'étape de la méthode.,Version de la méthode d'analyse. Un versionnement de type sémantique est recommandé.,1.0.0,2.0.0,"description wording, structure",
frastEr,fra,stEr,Erreur standard,L'erreur standard d'une série de mesures.,NA,2.2.0,2.2.0,added in V2.2.0,
frastercobilin,fra,stercobilin,Stercobiline,La stercobiline est un pigment biliaire tétrapyrrolique et l'un des produits finaux du catabolisme de l'hème. C'est le composé chimique responsable de la couleur brune des matières fécales humaines. Elle a été isolée pour la première fois à partir de matières fécales en 1932.,NA,2.2.0,2.2.0,added in V2.2.0,
frastoMed,fra,stoMed,Milieu de stockage des échantillons,Milieu utilisé pour conserver un échantillon avant l'analyse finale.,NA,3.0.0,3.0.0,added in V3.0.0,
frastoMedSet,fra,stoMedSet,Ensemble de milieux de stockage des échantillons,Ensemble des entrées catégorielles valides pour le champ stoMed.,NA,3.0.0,3.0.0,added in V3.0.0,
frastormy,fra,stormy,Temps orageux,Temps orageux,NA,3.0.0,3.0.0,added in V3.0.0,
frastorTempDef,fra,storTempDef,température de stockage de l'échantillion,"Tempéraure de stockage par défaut quand un nouvel échantillon est créé pour ce site. Se référer é la colonne ""storageTempC"" dans la table ""Sample""",NA,1.0.0,2.0.0,depreciated,
frastoTim,fra,stoTim,Temps de stockage,Durée pendant laquelle un échantillon a été stocké.,NA,2.0.0,2.0.0,added in V2.0.0,
frastr,fra,str,Cours d'eau,Cours d'eau linéaire qui s'écoule sur la partie solide de la surface d'une planète.,NA,3.0.0,3.0.0,added in V3.0.0,
frastrainID,fra,strainID,ID de souche,L'identifiant de souche d'un organisme donné.,NA,3.0.0,3.0.0,added in V3.0.0,
frastrainPhIAb,fra,strainPhIAb,Logiciel StrainPhlAn,Un outil logiciel d'analyse de lignées ou de clades dans MetaPhlAn pour l'analyse des lignées au niveau des souches à partir de données métagénomiques.,NA,3.0.0,3.0.0,added in V3.0.0,
frastrepGrp,fra,strepGrp,Groupe des streptocoques,Un groupe de mesures/méthodes relatives aux bactéries streptocoques.,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
frastrepPneu,fra,strepPneu,Streptococcus pneumoniae,Streptococcus pneumoniae,NA,2.2.0,2.2.0,added in V2.2.0,
frasts,fra,sts,Solution de thiosulfate de sodium,"Une solution tampon/un milieu qui neutralise le chlore résiduel dans les échantillons d'eaux usées, garantissant la viabilité microbienne.",NA,3.0.0,3.0.0,added in V3.0.0,
frasu,fra,su,Raccourci du feuillet de synthèse,Nom abrégé utilisé pour référencer la feuille de synthèse du fichier dictionary.xlxs.,feuille d'appuie ,2.2.2,3.0.0,depreciated in version 3,
frasubread,fra,subread,Subread,Subread. Un mappeur de lecture polyvalent. Comprend l'algorithme subread-align pour le mappage des lectures d'ADN et d'ARN. Idéal pour : les données à haut débit avec un équilibre entre vitesse et précision.,NA,3.0.0,3.0.0,added in V3.0.0,
frasubSamp,fra,subSamp,Sous-échantillon (général),Type de réplication général pour un sous-échantillon non défini autrement.,À utiliser lorsque des détails supplémentaires sur le réplicat ne sont pas disponibles.,3.0.0,3.0.0,added in V3.0.0,
frasuburban,fra,suburban,Suburbain,Type de zone suburbaine peuplée,NA,3.0.0,3.0.0,added in V3.0.0,
frasubVar,fra,subVar,Sous-variante ou lignée,"Unité utilisée pour signaler une lignée génétique spécifique, ou pour préciser qu'une variante signalée est une sous-variante d'une autre.","A utiliser en combinaison avec un ID de mesure de variante pour spécifier la filiation ; ex : measureID = Omicron, valeur = BA.2, unité = subvar",2.0.0,2.0.0,"added in V2.0.0, github issue #120",
frasuc,fra,suc,Sucralose,Sucralose (habituellement mesuré en tant qu'indicateur chimique fécal humain),NA,2.2.0,2.2.0,added in V2.2.0,
frasum14,fra,sum14,Somme mobile des 14 derniers jours,La somme mobile du nombre de cas ou d'un certain type de comptage au cours des 14 jours précédents.,Agrégation pour une mesure de population ou de maladie afin d'expliquer les effets cliniques au niveau de la population.,2.2.0,2.2.0,added in V2.2.0,
frasumm,fra,summ,Résumé,Bréve description de la méthode d'analyse et de comment celle-ci différe d'autres méthodes.,NA,1.0.0,2.0.0,"description wording, structure",
frasummary,fra,summary,Résumé de la feuille de travail,Fiche de synthèse du fichier dictionnaire.xlxs.,La fiche de synthèse contient le versioning et le changelog.,2.0.0,2.0.0,added in V2.0.0,
frasunny,fra,sunny,Ensoleillé,"CatSetégorie qualitative pour la mesure météorologique, spécifiant une journée claire et ensoleillée.",NA,2.0.0,2.0.0,"added in V2.0.0, github issue #124 and #204",
frasureSelectXThs2,fra,sureSelectXThs2,Kit de préparation de bibliothèque d'ADN SureSelect XT HS2,Kit de préparation de bibliothèque d'ADN SureSelect XT HS2 par Agilent. Un kit de préparation de bibliothèque haute sensibilité avec des capacités de capture de cibles.,NA,3.0.0,3.0.0,added in V3.0.0,
frasurf,fra,surf,Surface,Une mesure ou une observation faite à partir d'une substance sur une surface.,NA,2.0.0,2.0.0,added in V2.0.0,
frasurface,fra,surface,Autre surface,Surface autre que le sol ou le bureau.,Voir aussi les catégories pour le sol et le bureau. ,2.0.0,2.0.0,added in V2.0.0,
frasurfaceCompartmentSet,fra,surfaceCompartmentSet,Ensemble de compartiments de surface,Un ensemble de compartiments pour les mesures et les méthodes dans le compartiment de la surface.,NA,2.0.0,2.0.0,added in V2.0.0,
frasurfaceWaterCompartmentSet,fra,surfaceWaterCompartmentSet,Ensemble de compartiments d’eau et de surface.,Un ensemble de compartiments pour les mesures et les méthodes dans les compartiments de la surface ou de l'eau.,NA,2.0.0,2.0.0,added in V2.0.0,
frasurfSw,fra,surfSw,Écouvillon de surface,Écouvillon de surface.,NA,2.0.0,2.0.0,added in V2.0.0,
frasurvAlert,fra,survAlert,Alerte de surveillance,Un type d'intervention de santé publique dans lequel les autorités ont pris une décision concernant la surveillance et ont communiqué l'alerte.,NA,3.0.0,3.0.0,added in V3.0.0,
frasurvAlertSet,fra,survAlertSet,Ensemble de valeurs d'alerte de surveillance,"Un ensemble de catégories valides pour le champ action de santé publique, lorsque le type d'action est « alerte de surveillance ».",NA,3.0.0,3.0.0,added in V3.0.0,
frasurvLevel,fra,survLevel,Niveau de surveillance,"L'échelle ou le niveau de surveillance effectué sur un site. C'est-à-dire s'il s'agit d'une surveillance institutionnelle, d'une surveillance limitée à un seul bâtiment ou d'une surveillance à l'échelle de toute une municipalité.","Principalement à utiliser lorsqu'un polygone n'est pas rapporté. Mais dans les situations de surveillance communautaire, idéalement un polygone devrait également être fourni.",3.0.0,3.0.0,added in V3.0.0,
frasurvLevelSet,fra,survLevelSet,Ensemble de niveaux de surveillance,Liste des catégories valides pour la mesure survLevel.,NA,3.0.0,3.0.0,added in V3.0.0,
fraswgTrck,fra,swgTrck,Camion à eaux usées,Camion de vidange.,NA,1.0.0,2.0.0,"description wording, structure",
fraswift2STurbo,fra,swift2STurbo,Kit de bibliothèque d'ADN Swift 2S Turbo,Kit Swift 2S Turbo DNA Library de Swift Biosciences. Kit de préparation de bibliothèques rapide avec des performances robustes pour l'ADN à faible quantité.,NA,3.0.0,3.0.0,added in V3.0.0,
fraswrSed,fra,swrSed,Sédiment d’égout,Sédiments provenant des égouts.,NA,1.0.0,2.0.0,NA,
fraswrSet,fra,swrSet,Zone de captage d'un réseau d'égout,Zone de captage d'un réseau d'égout,NA,1.0.0,2.0.0,Name Change (from Polygon Type),
frasynthetic,fra,synthetic,Échantillon synthétique,Un échantillon synthétique ou généré artificiellement.,"Les échantillons synthétiques sont créés artificiellement en mélangeant des quantités connues de substances ou d'organismes cibles avec de l'eau propre, souvent en laboratoire. Ces échantillons sont utilisés comme contrôles, points de référence ou normes d'étalonnage au cours du processus d'analyse afin de garantir des résultats précis et fiables. Par exemple, un échantillon synthétique contenant une concentration connue d'un polluant spécifique peut être utilisé pour calibrer l'équipement analytique ou pour tester l'efficacité d'une nouvelle méthode de détection.",2.0.0,2.0.0,"added in V2.0.0, GitHub issue #94",
frat19r,fra,t19r,Gène cible de la variante delta t19r,Gène cible t19r de la variante delta.,NA,2.0.0,2.0.0,added in V2.0.0,
frat3646a,fra,t3646a,Gène cible de la variante delta t3646a,Gène cible t3646a de la variante delta.,NA,2.0.0,2.0.0,added in V2.0.0,
frat547k,fra,t547k,Gène cible de la variante omicron t547k,Gène cible t547k de la variante omicron.,NA,2.0.0,2.0.0,added in V2.0.0,
frat9i,fra,t9i,Gène cible de la variante omicron t9i,Gène cible t9i de la variante omicron.,NA,2.0.0,2.0.0,added in V2.0.0,
fratables,fra,tables,Type de partie de tables,"Le type de partie pour les tables, qui stockent les enregistrements de mesures, de méthodes et d'attributs pour faciliter la création de rapports.","Un exemple de table est `site`, une collection d'attributs tels que le nom et l'adresse du site pour décrire l'endroit où les échantillons environnementaux sont prélevés. PHES-ODM dispose de tables de rapport, mais les utilisateurs peuvent également créer leurs propres tables.",2.0.0,2.0.0,added in V2.0.0,
fratableSet,fra,tableSet,Ensemble de catégories de colonnes de table,L'ensemble des catégories pour les entrées valides dans les colonnes des tableaux.,Ces catégories sont utilisées dans la liste des parties pour des colonnes portant le nom de tables afin d'indiquer la position et la fonction d'une partie donnée dans le diagramme entité-relation du modèle de données.,2.0.0,2.0.0,added in V2.0.0,
fratableSupport,fra,tableSupport,Assistance aux tables,Parties conçues pour prendre en charge la définition des métadonnées des tables dans la table des parties.,NA,2.0.0,2.0.0,added in V2.0.0,
frataqpatN,fra,taqpatN,Gène cible de SRAS-CoV-2 TaqPath N,Gène cible TaqPath N de SRAS-CoV-2.,NA,2.0.0,2.0.0,added in V2.0.0,
frataqpatS,fra,taqpatS,Gène cible de SRAS-CoV-2 TaqPath S,Gène cible TaqPath N de SRAS-CoV-2.,NA,2.0.0,2.0.0,added in V2.0.0,
fratargetSurv,fra,targetSurv,Programme de surveillance ciblée,Stratégie d'échantillonnage de surveillance dans laquelle un résultat souhaité est explicitement énoncé.,NA,3.0.0,3.0.0,added in V3.0.0,
fratargSurv,fra,targSurv,Surveillance ciblée initiée,"Une surveillance ciblée sur une population, un lieu ou un facteur de risque spécifique.",NA,3.0.0,3.0.0,added in V3.0.0,
frataxonium,fra,taxonium,Logiciel Taxonium,"Taxonium - Un outil évolutif pour visualiser et analyser de grands arbres phylogénétiques, y compris les annotations de clades.",NA,3.0.0,3.0.0,added in V3.0.0,
fratds,fra,tds,Total des solides dissous (TDS),Total des solides dissous,NA,3.0.0,3.0.0,added in V3.0.0,
fratechRep,fra,techRep,Réplique technique,"Échantillon provenant de la même source biologique ou environnementale (par exemple, le même ADN extrait, la même aliquote d'ARN ou le même échantillon d'eau). Permet de détecter les incohérences dues à des erreurs de pipetage, des fluctuations des instruments ou des incohérences des réactifs, plutôt qu'à des variations biologiques.",NA,3.0.0,3.0.0,added in V3.0.0,
fratemp,fra,temp,Température d'eau,"la température de l'échantillon au moment oé la mesure est prise, souvent é son arrivée au laboratoire.",NA,1.0.0,2.0.0,"description wording, structure",
fratemperature,fra,temperature,Classe de température.,Spécifie un ensemble de mesures/méthodes liées à la température.,NA,2.0.0,2.0.0,added in V2.0.0,
fratemperatureUnitSet,fra,temperatureUnitSet,Ensemble d'unités de température,Ensemble d'unités pour les mesures de température.,NA,2.0.0,2.0.0,added in V2.0.0,
fratemplateSheetSet,fra,templateSheetSet,Ensemble de feuilles modèles,Feuilles de calcul dans le modèle de surveillance ODM générique complet (tous les tableaux).,NA,2.0.0,2.0.0,added in V2.0.0,
fratempSet,fra,tempSet,Ensemble de modèles,L'ensemble organisateur pour les modèles.,NA,2.2.0,2.2.0,Added in V 2.2.0,
fratempType,fra,tempType,Acide nucléique Type de modèle,Indique si une PCR ou un séquençage a utilisé de l'ARN ou de l'ADN comme matrice pour la réaction.,NA,2.2.0,2.2.0,added in V2.2.0,
fratempVol,fra,tempVol,Volume de la matrice d'acide nucléique,Le volume de la matrice d'ADN ou d'ARN utilisée pour la PCR. ,NA,2.0.0,2.0.0,added in V2.0.0,
fraterminal,fra,terminal,Terminal de l'aéroport,Type de catégorie du bassin d'échantillonnage du terminal de l'aéroport,NA,2.0.0,2.0.0,added in V2.0.0,
fratesDate,fra,tesDate,Date du test,Date à laquelle le test de COVID-19 a été effectué.,NA,1.0.0,2.0.0,depreciated,
fratest,fra,test,Nombre de tests effectués,Nombre de tests effectués.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
fratesting,fra,testing,Tests,Une mesure ou un échantillon prélevé pour tester une nouvelle méthode. Ces mesures sont généralement utilisées à l'intérieur du laboratoire et ne sont pas communiquées aux partenaires extérieurs.,NA,2.0.0,2.0.0,added in V2.0.0,
fratetAMRGrp,fra,tetAMRGrp,Groupe de résistance antimicrobienne à la tétracycline,Groupe de mesures et de méthodes relatives à la résistance antimicrobienne liée à la tétracycline.,NA,2.1.0,2.1.0,added in V2.1.0,
fratetW,fra,tetW,TetW Gène cible de la résistance à la tétracycline,La cible du gène tetW de résistance antimicrobienne à la tétracycline.,NA,2.2.0,2.2.0,added in V2.2.0,
frathermCyc,fra,thermCyc,Thermocycleurs,"Un instrument thermocycleur, utilisé pour effectuer des réactions à température contrôlée pour la PCR.",NA,3.0.0,3.0.0,added in V3.0.0,
frathermMag,fra,thermMag,Trousse d'isolation d'acide nucléique de thermo magmax microbiome ultra,Extraction des acides nucléiques réalisée à l'aide de la trousse d'isolation des acides nucléiques thermo magmax microbiome ultra.,NA,2.0.0,2.0.0,added in V2.0.0,
frathermMagmax,fra,thermMagmax,kit d'isolation de l'acide nucléique viral/pathogène thermo magmax,kit d'isolation de l'acide nucléique viral/pathogène thermo magmax,NA,2.2.0,2.2.0,added in V2.2.0,
frathreatDes,fra,threatDes,Désignation de la menace,Un type d'action de santé publique dans lequel un niveau de menace est déterminé et communiqué par les autorités.,NA,3.0.0,3.0.0,added in V3.0.0,
frathreatDesSet,fra,threatDesSet,Ensemble de valeurs de désignation de la menace,"Un ensemble de catégories valides pour le champ action de santé publique, où le type d'action est « désignation de menace ».",NA,3.0.0,3.0.0,added in V3.0.0,
